vendor_name_raw,spend_usd
(Blank),137.0
Escape Art D.O.O.,133.0
Fero-Term,131.0
Ustanova Za Zdravstvenu Skrb P.P.,131.0
Vistaprint,130.0
Teb Poslovno Savjetovanje D.O.O.,129.0
Illunis D.O.O.,128.0
Australian Taxation Office (Ato),123.0
Capitol Services,120.0
Bonus Opinio D.O.O.,120.0
Dhl Express (Uk) Ltd,119.0
Fortis Trade J.D.O.O.,95.0
Till Trade D.O.O.,93.0
Pret A Manger,92.0
Axil Coffee Roasters,89.0
Pepco Croatia D.O.O.,89.0
Lemia D.O.O.,88.0
Retriever Llc,88.0
Meluba Limited,88.0
London Waste Management,86.0
Hilton Garden Inn - Zagreb City Hotels D.O.O.,82.0
Lider Media D.O.O.,80.0
Uptime Robot Service Provider Ltd,78.0
Mithras Consultants,77.0
6Sense Insights Inc,76.0
Ico,67.0
Sportska Udruga Split,66.0
Prezzee,64.0
Inet Telecoms Ltd.,63.0
Wolt Enterprises Oy,62.0
Platinum Office D.O.O.,62.0
Snappy Snaps,59.0
New Block D.O.O.,56.0
Cayman Islands Government,56.0
Officeworks,56.0
Click Send Pty Ltd,55.0
Kall Kwik Centre 565,55.0
Shilton Hospitality Llp,55.0
Axosoft Gitkraken,54.0
Istra Wine,53.0
Gophr,52.0
Pan-Pek D.O.O.,50.0
Uber *Eats,50.0
Fedex Express Uk Transportation Ltd,47.0
Garden City D.O.O.,45.0
Livingstone,41.0
Ekupi D.O.O.,40.0
Farmacia - Specijalizirana Prodavaonica D.O.O.,36.0
Cupcake Central (Life Is Sweet Bakery),35.0
Post Office Ltd,32.0
