vendor_name_raw,spend_usd,vendor_name_clean,vendor_name_canonical
Salesforce Uk Ltd-Uk,3117226.0,salesforce uk ltd-uk,salesforce uk ltd-uk
Navan (Tripactions Inc),357984.0,navan (tripactions inc),navan
Bdo Llp,343081.0,bdo llp,bdo
Tog Uk Properties Limited,263821.0,tog uk properties limited,tog uk properties
Cloudcrossing Bvba,208675.0,cloudcrossing bvba,cloudcrossing
Zagrebtower D.O.O.,183754.0,zagrebtower d.o.o.,zagrebtower
Innovent Spaces Private Limited,147348.0,innovent spaces private limited,innovent spaces private
Weking D.O.O.,144093.0,weking d.o.o.,weking
Jensten Insurance Brokers,142700.0,jensten insurance brokers,jensten insurance brokers
Gpt Space & Co,133507.0,gpt space & co,gpt space &
Aetna Life And Casualty Ltd,124661.0,aetna life and casualty ltd,aetna life and casualty
Rsm Uk Corporate Finance Llp,117078.0,rsm uk corporate finance llp,rsm uk corporate finance
Amazon Web Services Llc,106399.0,amazon web services llc,amazon web services
Telefonica Global Services Gmbh,89880.0,telefonica global services gmbh,telefonica global services
Hr Solution International Gmbh,80823.0,hr solution international gmbh,hr solution international
4I Advisory Services,71860.0,4i advisory services,4i advisory services
Bisley Law Ltd,67414.0,bisley law ltd,bisley law
Infosys,66570.0,infosys,infosys
Big Frontier Pty Ltd (Cult Of Monday),66131.0,big frontier pty ltd (cult of monday),big frontier
Harmonic Group Limited,65418.0,harmonic group limited,harmonic group
Wework Singapore Pte. Ltd.,64373.0,wework singapore pte. ltd.,wework singapore
Cloud Technology Solutions Ltd,60661.0,cloud technology solutions ltd,cloud technology solutions
"Navan, Inc",57929.0,"navan, inc",navan
Tmforum,57560.0,tmforum,tmforum
Linkedin Ireland Limited,55573.0,linkedin ireland limited,linkedin ireland
Kimble Applications Ltd,52825.0,kimble applications ltd,kimble applications
Sage Uk Limited,46895.0,sage uk limited,sage uk
Grant Thornton,46539.0,grant thornton,grant thornton
"SveuäIliå¡Te U Zagrebu, Studentski Centar",44299.0,"sveu ili te u zagrebu, studentski centar","sveu ili te u zagrebu, studentski centar"
Ss&C Intralinks Inc,39966.0,ss&c intralinks inc,ss&c intralinks
Veniture D.O.O.,39342.0,veniture d.o.o.,veniture
Accutrainee Limited,38841.0,accutrainee limited,accutrainee
Mason Frank International Ltd,38148.0,mason frank international ltd,mason frank international
"Houlihan Lokey Advisors, Llc",37461.0,"houlihan lokey advisors, llc",houlihan lokey advisors
Vector Capital Management Lp,32427.0,vector capital management lp,vector capital management
Hubspot Ireland Limited,32187.0,hubspot ireland limited,hubspot ireland
Nefron - Obrt Za Poslovne Usluge,30614.0,nefron - obrt za poslovne usluge,nefron - obrt za poslovne usluge
"Planful, Inc.",27741.0,"planful, inc.",planful
Cognism Limited,27013.0,cognism limited,cognism
Uberflip,26091.0,uberflip,uberflip
Agram Life Osiguranje D.O.O.,24952.0,agram life osiguranje d.o.o.,agram life osiguranje
Google Ireland Limited,24798.0,google ireland limited,google ireland
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,24135.0,zuric i partneri odvjetnicko drustvo d.o.o.,zuric i partneri odvjetnicko drustvo
Care Health Insurance Company Limited,24045.0,care health insurance company limited,care health insurance
New Star Networks(Nsn),23887.0,new star networks(nsn),new star networks
Bupa- Supplier,22800.0,bupa- supplier,bupa- supplier
Shree Info System Solutions Pvt Ltd,22275.0,shree info system solutions pvt ltd,shree info system solutions
Technet It Recruitment,21952.0,technet it recruitment,technet it recruitment
Mightyhive Ltd,19042.0,mightyhive ltd,mightyhive
Cedar Recruitment Ltd,18537.0,cedar recruitment ltd,cedar recruitment
Eurofast International Ltd-Greec,18164.0,eurofast international ltd-greec,eurofast international ltd-greec
Hrvatski Telekom D.D.,18084.0,hrvatski telekom d.d.,hrvatski telekom
Sodexo Svc India Private Limited,17810.0,sodexo svc india private limited,sodexo svc india private
Peakon Aps,17108.0,peakon aps,peakon
Plus Your Business Ltd,17074.0,plus your business ltd,plus your business
Benefit Systems D.O.O.,16900.0,benefit systems d.o.o.,benefit systems
Smart Group Services D.O.O.,16438.0,smart group services d.o.o.,smart group services
Jones Lang Lasalle (Nsw) Pty Ltd,16274.0,jones lang lasalle (nsw) pty ltd,jones lang lasalle
"Workato, Inc.",16101.0,"workato, inc.",workato
Konzum Plus D.O.O.,15684.0,konzum plus d.o.o.,konzum plus
Westbrook Advisers,15360.0,westbrook advisers,westbrook advisers
Work Easy Space Solutions Private Limited,14913.0,work easy space solutions private limited,work easy space solutions private
"Taxstudio, Ltd.",14642.0,"taxstudio, ltd.",taxstudio
Pingo D.O.O.,14508.0,pingo d.o.o.,pingo
Magazin Raunalni Sistemi D.O.O.,13870.0,magazin raunalni sistemi d.o.o.,magazin raunalni sistemi
Tp Prime D.O.O.,13785.0,tp prime d.o.o.,tp prime
Granttree Limited,13659.0,granttree limited,granttree
Cigna Sg,13249.0,cigna sg,cigna sg
Collards Chartered Accountants,12879.0,collards chartered accountants,collards chartered accountants
Bupa Australia,12463.0,bupa australia,bupa australia
4I Management Consulting Private Limited,12117.0,4i management consulting private limited,4i management consulting private
"Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,..",11637.0,"grad zagreb, gradski ured za prostorno ure enje,..","grad zagreb, gradski ured za prostorno ure enje"
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,11605.0,bijeli pijesak obrt za poslovno savjetovanje,bijeli pijesak obrt za poslovno savjetovanje
Ramiro D.O.O.,11516.0,ramiro d.o.o.,ramiro
Visalogic Limited,11241.0,visalogic limited,visalogic
Poles Ltd - Hanbury Manor,10488.0,poles ltd - hanbury manor,poles ltd - hanbury manor
Shoff Darby Companies,10100.0,shoff darby companies,shoff darby
Emerge Development Consultancy Ltd,10046.0,emerge development consultancy ltd,emerge development consultancy
Performancepro,10018.0,performancepro,performancepro
Microsoft Ireland Operations Limited,9822.0,microsoft ireland operations limited,microsoft ireland operations
Catering Muring,9603.0,catering muring,catering muring
Omonia D.O.O.,9559.0,omonia d.o.o.,omonia
Outreach Corporation,9206.0,outreach corporation,outreach
Cbre Limited,8395.0,cbre limited,cbre
Studentski Centar - Split,8269.0,studentski centar - split,studentski centar - split
The Guardian,8070.0,the guardian,the guardian
Intertrust Singapore Corporate Services Pte Ltd - Csc,7360.0,intertrust singapore corporate services pte ltd - csc,intertrust singapore corporate services pte ltd - csc
Goto Technologies Uk Limited,7316.0,goto technologies uk limited,goto technologies uk
Hrsolution International Ag,6987.0,hrsolution international ag,hrsolution international
Trello,6674.0,trello,trello
Obrt Sjaj Sunca,6596.0,obrt sjaj sunca,obrt sjaj sunca
Telefã³Nica Compras Electrã³Nicas S.L.,6157.0,telef nica compras electr nicas s.l.,telef nica compras electr nicas
Allianz Australia Workers' Compensation (Victoria) Limited,6099.0,allianz australia workers' compensation (victoria) limited,allianz australia workers' compensation
Icici Lombard Gic Ltd,5972.0,icici lombard gic ltd,icici lombard gic
Mosaic Concept D.O.O.,5731.0,mosaic concept d.o.o.,mosaic concept
Limes Plus D.O.O.,5624.0,limes plus d.o.o.,limes plus
Mercer Limited,5444.0,mercer limited,mercer
Acclime Corporate Services,5413.0,acclime corporate services,acclime corporate services
Green Commute Initiative,5402.0,green commute initiative,green commute initiative
Tattu Manchester Limited,5366.0,tattu manchester limited,tattu manchester
Athlete Service Ltd,5285.0,athlete service ltd,athlete service
Amazon Web Services Inc.,5153.0,amazon web services inc.,amazon web services
Telemach Hrvatska D.O.O.,5134.0,telemach hrvatska d.o.o.,telemach hrvatska
"Acclime Usa, Inc",4995.0,"acclime usa, inc",acclime usa
Centar Za Sigurnost D.O.O.,4991.0,centar za sigurnost d.o.o.,centar za sigurnost
Profi Bar D.O.O.,4917.0,profi bar d.o.o.,profi bar
Pricewaterhousecoopers Llp,4879.0,pricewaterhousecoopers llp,pricewaterhousecoopers
Pinnacle Partnership Ca,4836.0,pinnacle partnership ca,pinnacle partnership ca
The Virtual Legal Counsel Ltd,4800.0,the virtual legal counsel ltd,the virtual legal counsel
Australian Payroll Professionals Pty Ltd,4399.0,australian payroll professionals pty ltd,australian payroll professionals
Inter Continental Chennai Mahabalipuram Resort,4393.0,inter continental chennai mahabalipuram resort,inter continental chennai mahabalipuram resort
Jetbrains S.R.O.,4083.0,jetbrains s.r.o.,jetbrains
Crowe Horwath Revizija D.O.O.,4062.0,crowe horwath revizija d.o.o.,crowe horwath revizija
Puducherry Backwater Resort Private Limited,4056.0,puducherry backwater resort private limited,puducherry backwater resort private
Orionw Llc,4025.0,orionw llc,orionw
Adobe Systems Software,3929.0,adobe systems software,adobe systems software
"Common Desk, Llc",3842.0,"common desk, llc",common desk
Hep Elektra D.O.O.,3735.0,hep elektra d.o.o.,hep elektra
