vendor_name_raw,spend_usd,vendor_name_clean,vendor_name_canonical,department_prefill,category_prefill,description_prefill,suggestion_prefill,rule_id,needs_llm
Salesforce Uk Ltd-Uk,3117226.0,salesforce uk ltd-uk,salesforce uk ltd-uk,Sales,CRM,CRM platform for sales and customer management,Consolidate,R001,False
Navan (Tripactions Inc),357984.0,navan (tripactions inc),navan,Finance,Travel & Expense,Corporate travel booking and expense management,Consolidate,R006,False
Bdo Llp,343081.0,bdo llp,bdo,Finance,Audit/Tax,Audit tax and financial advisory services,Consolidate,R009,False
Tog Uk Properties Limited,263821.0,tog uk properties limited,tog uk properties,Facilities,Coworking/Office,Flexible coworking and office space,Optimize costs,R007,False
Cloudcrossing Bvba,208675.0,cloudcrossing bvba,cloudcrossing,,,,,,True
Zagrebtower D.O.O.,183754.0,zagrebtower d.o.o.,zagrebtower,,,,,,True
Innovent Spaces Private Limited,147348.0,innovent spaces private limited,innovent spaces private,Facilities,Coworking/Office,Flexible coworking and office space,Optimize costs,R007,False
Weking D.O.O.,144093.0,weking d.o.o.,weking,,,,,,True
Jensten Insurance Brokers,142700.0,jensten insurance brokers,jensten insurance brokers,HR,General Ops,Employee health and insurance benefits,Consolidate,R025,False
Gpt Space & Co,133507.0,gpt space & co,gpt space &,,,,,,True
Aetna Life And Casualty Ltd,124661.0,aetna life and casualty ltd,aetna life and casualty,HR,General Ops,Employee health and insurance benefits,Consolidate,R025,False
Rsm Uk Corporate Finance Llp,117078.0,rsm uk corporate finance llp,rsm uk corporate finance,Finance,Audit/Tax,Audit tax and financial advisory services,Consolidate,R009,False
Amazon Web Services Llc,106399.0,amazon web services llc,amazon web services,IT,Cloud,Cloud infrastructure and computing services,Optimize costs,R003,False
Telefonica Global Services Gmbh,89880.0,telefonica global services gmbh,telefonica global services,IT,Telecom,Telecommunications and mobile services,Consolidate,R008,False
Hr Solution International Gmbh,80823.0,hr solution international gmbh,hr solution international,,,,,,True
4I Advisory Services,71860.0,4i advisory services,4i advisory services,,,,,,True
Bisley Law Ltd,67414.0,bisley law ltd,bisley law,Legal,Legal Services,Legal counsel and advisory services,Consolidate,R010,False
Infosys,66570.0,infosys,infosys,IT,Security/IT Ops,IT consulting and managed services,Optimize costs,R022,False
