Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
Salesforce Uk Ltd-Uk,Sales,"$3,117,226",CRM platform for sales and customer management,Consolidate
Navan (Tripactions Inc),Finance,"$357,984",Corporate travel booking and expense management,Consolidate
Bdo Llp,Professional Services,"$343,081",Audit tax and financial advisory services,Consolidate
Tog Uk Properties Limited,Facilities,"$263,821",Flexible coworking and office space,Optimize costs
Cloudcrossing Bvba,Engineering,"$208,675",Cloud infrastructure and hosting services provider,Optimize costs
Zagrebtower D.O.O.,Facilities,"$183,754",Office space or coworking facility in Zagreb,Optimize costs
Innovent Spaces Private Limited,Facilities,"$147,348",Flexible coworking and office space,Optimize costs
Weking D.O.O.,Facilities,"$144,093",Office or workplace services provider,Optimize costs
Jensten Insurance Brokers,G&A,"$142,700",Employee health and insurance benefits,Consolidate
Gpt Space & Co,Facilities,"$133,507",Coworking or office space provider,Consolidate
Aetna Life And Casualty Ltd,G&A,"$124,661",Employee health and insurance benefits,Consolidate
Rsm Uk Corporate Finance Llp,Professional Services,"$117,078",Audit tax and financial advisory services,Consolidate
Amazon Web Services Llc,Engineering,"$106,399",Cloud infrastructure and computing services,Optimize costs
Telefonica Global Services Gmbh,G&A,"$89,880",Telecommunications and mobile services,Consolidate
Hr Solution International Gmbh,G&A,"$80,823",HR and recruiting solutions provider,Optimize costs
4I Advisory Services,Professional Services,"$71,860",Business advisory and consulting services,Consolidate
Bisley Law Ltd,Legal,"$67,414",Legal counsel and advisory services,Consolidate
Infosys,G&A,"$66,570",IT consulting and managed services,Optimize costs
Big Frontier Pty Ltd (Cult Of Monday),G&A,"$66,131",Team culture and employee engagement services,Terminate
Harmonic Group Limited,Professional Services,"$65,418",Business consulting and advisory services,Optimize costs
Wework Singapore Pte. Ltd.,Facilities,"$64,373",Flexible coworking and office space,Optimize costs
Cloud Technology Solutions Ltd,G&A,"$60,661",IT consulting and managed services,Optimize costs
"Navan, Inc",Finance,"$57,929",Corporate travel booking and expense management,Consolidate
Tmforum,Engineering,"$57,560",Telecom and IT industry association membership,Optimize costs
Linkedin Ireland Limited,Marketing,"$55,573",Professional networking and recruitment advertising,Optimize costs
Kimble Applications Ltd,Professional Services,"$52,825",Professional services automation software platform,Optimize costs
Sage Uk Limited,Finance,"$46,895",Financial planning and accounting software,Consolidate
Grant Thornton,Professional Services,"$46,539",Audit tax and financial advisory services,Consolidate
