vendor_name_raw,spend_usd,department_final,category_final,suggestion_final,description_final,confidence,rationale_short,suspected_duplicates,rule_id,needs_llm
Salesforce Uk Ltd-Uk,3117226.0,Sales,CRM,Consolidate,CRM platform for sales and customer management,N/A,,,R001,False
Navan (Tripactions Inc),357984.0,Finance,Travel & Expense,Consolidate,Corporate travel booking and expense management,N/A,,,R006,False
Bdo Llp,343081.0,Professional Services,Audit/Tax,Consolidate,Audit tax and financial advisory services,N/A,,,R009,False
Tog Uk Properties Limited,263821.0,Facilities,Coworking/Office,Optimize costs,Flexible coworking and office space,N/A,,,R007,False
Cloudcrossing Bvba,208675.0,Engineering,Cloud,Optimize costs,Cloud infrastructure and hosting services provider,Medium,High spend suggests review for cloud optimization,,,True
Zagrebtower D.O.O.,183754.0,Facilities,Coworking/Office,Optimize costs,Office space or coworking facility in Zagreb,Medium,Large facilities spend warrants cost review,"Gpt Space & Co, Veniture D.O.O., Work Easy Space Solutions Private Limited",,True
Innovent Spaces Private Limited,147348.0,Facilities,Coworking/Office,Optimize costs,Flexible coworking and office space,N/A,,,R007,False
Weking D.O.O.,144093.0,Facilities,Coworking/Office,Optimize costs,Office or workplace services provider,Low,Croatian entity likely office-related but unclear,"Zagrebtower D.O.O., Veniture D.O.O.",,True
Jensten Insurance Brokers,142700.0,G&A,General Ops,Consolidate,Employee health and insurance benefits,N/A,,,R025,False
Gpt Space & Co,133507.0,Facilities,Coworking/Office,Consolidate,Coworking or office space provider,High,Multiple office space vendors suggest consolidation,"Zagrebtower D.O.O., Veniture D.O.O., Work Easy Space Solutions Private Limited",,True
Aetna Life And Casualty Ltd,124661.0,G&A,General Ops,Consolidate,Employee health and insurance benefits,N/A,,,R025,False
Rsm Uk Corporate Finance Llp,117078.0,Professional Services,Audit/Tax,Consolidate,Audit tax and financial advisory services,N/A,,,R009,False
Amazon Web Services Llc,106399.0,Engineering,Cloud,Optimize costs,Cloud infrastructure and computing services,N/A,,,R003,False
Telefonica Global Services Gmbh,89880.0,G&A,Telecom,Consolidate,Telecommunications and mobile services,N/A,,,R008,False
Hr Solution International Gmbh,80823.0,G&A,Recruiting,Optimize costs,HR and recruiting solutions provider,High,HR software should be evaluated for ROI,,,True
4I Advisory Services,71860.0,Professional Services,General Ops,Consolidate,Business advisory and consulting services,High,Duplicate with 4I Management Consulting,4I Management Consulting Private Limited,,True
Bisley Law Ltd,67414.0,Legal,Legal Services,Consolidate,Legal counsel and advisory services,N/A,,,R010,False
Infosys,66570.0,G&A,Security/IT Ops,Optimize costs,IT consulting and managed services,N/A,,,R022,False
Big Frontier Pty Ltd (Cult Of Monday),66131.0,G&A,General Ops,Terminate,Team culture and employee engagement services,Medium,Culture programs should justify ROI or terminate,,,True
Harmonic Group Limited,65418.0,Professional Services,General Ops,Optimize costs,Business consulting and advisory services,Low,Generic consulting requires scope clarity,,,True
Wework Singapore Pte. Ltd.,64373.0,Facilities,Coworking/Office,Optimize costs,Flexible coworking and office space,N/A,,,R007,False
Cloud Technology Solutions Ltd,60661.0,G&A,Security/IT Ops,Optimize costs,IT consulting and managed services,N/A,,,R022,False
"Navan, Inc",57929.0,Finance,Travel & Expense,Consolidate,Corporate travel booking and expense management,N/A,,,R006,False
Tmforum,57560.0,Engineering,General Ops,Optimize costs,Telecom and IT industry association membership,High,Association membership should show clear value,,,True
Linkedin Ireland Limited,55573.0,Marketing,Marketing/SEO/PR,Optimize costs,Professional networking and recruitment advertising,N/A,,,R012,False
Kimble Applications Ltd,52825.0,Professional Services,Productivity/Collab,Optimize costs,Professional services automation software platform,High,PSA software spend should align with usage,,,True
Sage Uk Limited,46895.0,Finance,Finance Systems,Consolidate,Financial planning and accounting software,N/A,,,R021,False
Grant Thornton,46539.0,Professional Services,Audit/Tax,Consolidate,Audit tax and financial advisory services,N/A,,,R009,False
"SveuäIliå¡Te U Zagrebu, Studentski Centar",44299.0,G&A,Recruiting,Optimize costs,Zagreb student center for internship recruiting,Medium,Recruiting partnership costs should be evaluated,Accutrainee Limited,,True
Ss&C Intralinks Inc,39966.0,M&A,Productivity/Collab,Optimize costs,Virtual data room for M&A transactions,High,VDR costs tied to deal activity,,,True
Veniture D.O.O.,39342.0,Facilities,Coworking/Office,Consolidate,Coworking or office space provider,High,Multiple office vendors suggest consolidation opportunity,"Zagrebtower D.O.O., Gpt Space & Co, Work Easy Space Solutions Private Limited",,True
Accutrainee Limited,38841.0,G&A,Recruiting,Consolidate,Training and recruitment services,Medium,Multiple recruiting vendors could be consolidated,"SveuäIliå¡Te U Zagrebu, Studentski Centar",,True
Mason Frank International Ltd,38148.0,G&A,Recruiting,Consolidate,Talent acquisition and recruitment services,N/A,,,R011,False
